[BeGaze]
Converted from:	F:\1. ON ROAD - Track\007 DV\007 DV Rested 20130427\SMI\007 DV 20130427 - Rested.idf
Date:	12.08.2014 13:44:34
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	007 DV 20130427 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.
Saccade L	1	42	5822038719	5822058700	19981	397.33	204.65	397.87	205.34	0.05	4.16	1.00	2.37	49.01	-51.74	49.53
Saccade L	1	43	5822837777	5822897816	60039	386.32	175.19	435.08	386.44	6.33	204.00	0.33	105.40	5031.68	-2858.90	3128.64
Saccade L	1	44	5823137448	5823157478	20030	425.12	341.37	422.67	338.32	0.15	9.99	1.00	7.56	121.79	16.39	63.32
Saccade L	1	45	5823618042	5823696944	78902	404.14	234.84	426.99	175.82	65.65	1177.72	0.00	832.07	29443.10	-28854.96	14775.58
Saccade L	1	46	5824875615	5824895571	19956	404.18	193.76	402.48	193.39	0.13	10.75	1.00	6.75	-28.53	-157.45	87.64
Saccade L	1	47	5825116154	5825155129	38975	410.31	244.87	423.38	362.42	4.10	158.46	0.49	105.29	3879.47	-3383.85	2334.08
Saccade L	1	48	5825834492	5825854434	19942	436.79	332.15	435.65	328.00	0.19	11.01	1.00	9.65	13.93	-141.36	91.43
Saccade L	1	49	5826014667	5826034391	19724	385.95	312.88	319.14	312.39	1.46	170.70	1.00	73.89	4162.38	-4071.80	3585.38
Saccade L	1	50	5826573708	5826653567	79859	417.40	141.28	422.59	151.20	63.99	1132.10	1.00	801.28	27800.65	-28131.28	14114.44
Saccade L	1	51	5827292837	5827313205	20368	417.83	192.94	444.83	299.50	2.44	280.72	1.00	119.73	6984.67	-6642.56	5885.56
Saccade L	1	52	5827513678	5827532572	18894	437.95	356.23	417.36	349.13	0.39	55.67	1.00	20.46	1196.14	-1242.25	863.61
Saccade L	1	53	5828152111	5828231805	79694	425.39	150.87	420.14	154.18	64.77	1138.30	0.00	812.68	28457.49	-28256.09	14179.80
Saccade L	1	54	5829570316	5829610665	40349	418.56	191.26	432.40	328.13	3.93	195.92	0.50	97.35	4811.41	-3801.19	3526.24
Saccade L	1	55	5830169695	5830189580	19885	439.62	386.99	407.15	388.70	0.54	83.10	1.00	27.12	2000.73	-2052.03	1500.48
Saccade L	1	56	5830329446	5830369438	39992	407.86	387.45	407.93	386.83	21.23	1325.20	1.00	530.77	33086.55	-33094.16	33075.42
Saccade L	1	57	5831288327	5831409275	120948	408.92	353.07	416.77	160.24	66.38	1165.71	0.50	548.85	25189.47	-28104.48	13998.53
Saccade L	1	58	5831747816	5831787823	40007	419.11	164.01	343.83	333.60	20.21	1206.22	1.00	505.05	29978.80	-29225.80	27884.82
Saccade L	1	59	5832027560	5832047630	20070	395.28	365.25	394.81	367.49	0.18	15.34	1.00	8.94	-94.28	-237.46	149.26
Saccade L	1	60	5832707871	5832746820	38949	415.22	151.34	416.84	149.40	26.09	1117.32	1.00	669.77	27879.24	-27849.97	20898.93
Saccade L	1	61	5832886586	5832926579	39993	417.13	145.23	442.38	302.86	4.25	234.91	0.51	106.39	5780.20	-4284.28	4356.98
Saccade L	1	62	5833346059	5833366086	20027	436.35	360.76	399.47	358.55	0.69	94.42	1.00	34.56	2288.44	-2301.05	1812.93
Saccade L	1	63	5833825564	5833865573	40009	392.70	171.54	391.64	178.06	26.05	1086.32	1.00	651.00	27054.04	-27047.35	20287.65
Saccade L	1	64	5835044152	5835064195	20043	418.41	217.05	419.21	219.64	0.72	125.15	1.00	36.05	-40.79	-2955.78	1030.89
Saccade L	1	65	5835783440	5835804418	20978	401.31	265.19	391.80	327.13	2.30	160.10	1.00	109.65	3899.41	-3771.95	2679.92
Saccade L	1	66	5836362688	5836442616	79928	411.62	158.29	410.12	163.70	63.58	1114.30	1.00	795.41	27822.34	-27753.11	13894.76
Saccade L	1	67	5836962070	5836982142	20072	400.60	210.92	400.89	294.14	2.05	212.60	1.00	102.05	5228.43	-3366.03	3584.09
Saccade L	1	68	5837121952	5837181922	59970	391.30	383.20	389.53	385.42	27.87	1387.24	1.00	464.78	34543.31	-34630.57	27665.71
Saccade L	1	69	5837501838	5837581329	79491	406.10	233.67	412.56	206.47	66.46	1180.44	0.00	836.07	29510.95	-28985.51	14728.22
Saccade L	1	70	5838002036	5838040865	38829	394.30	206.48	410.91	344.16	4.14	190.71	1.00	106.64	4487.82	-3688.96	3055.73
Saccade L	1	71	5838801039	5838839950	38911	415.41	187.60	419.28	188.97	26.99	1159.29	1.00	693.74	28731.20	-28788.58	21557.24
Saccade L	1	72	5839200540	5839239554	39014	409.84	201.03	414.43	352.88	4.05	232.44	0.49	103.84	5664.94	-3477.72	3773.76
Saccade L	1	73	5839800162	5839838817	38655	413.26	160.68	411.04	164.29	26.00	1118.76	0.00	672.74	27969.11	-27737.90	20855.12
Saccade L	1	74	5841656817	5841697936	41119	410.23	212.51	402.67	356.27	4.09	215.00	0.49	99.54	5305.38	-3512.67	3711.11
Saccade L	1	75	5842076275	5842156152	79877	385.15	215.73	397.53	170.34	62.89	1113.97	0.00	787.36	27849.30	-27257.60	13885.22
Saccade L	1	76	5842735504	5842755567	20063	407.01	202.77	360.69	190.64	0.79	122.35	1.00	39.43	2805.62	-2929.87	1973.07
