[BeGaze]
Converted from:	F:\1. ON ROAD - Track\009 JA\009 JA 20131027 Rested\SMI\009 JA 201231027 - Rested.idf
Date:	08.08.2014 16:30:13
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	009 JA 201231027 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.
Saccade L	1	42	5495912487	5495932473	19986	216.47	315.29	293.06	307.85	1.65	196.58	1.00	82.65	4772.56	-4821.83	3660.14
Saccade L	1	43	5497270979	5497290966	19987	353.84	315.43	351.69	313.56	0.15	8.94	1.00	7.27	-41.30	-96.37	71.44
Saccade L	1	44	5500007845	5500048172	40327	-92.17	399.54	329.91	349.84	26.83	1210.61	1.00	665.31	25911.88	-30081.85	21296.17
Saccade L	1	45	5501166597	5501186609	20012	268.48	333.38	263.99	327.42	0.51	60.40	0.00	25.35	457.20	-981.05	570.74
Saccade L	1	46	5501905728	5501946835	41107	255.01	329.03	255.98	330.74	19.78	1199.99	1.00	481.14	29933.29	-29925.15	29857.22
Saccade L	1	47	5502246423	5502265359	18936	210.12	307.26	204.00	299.38	1.03	144.25	0.00	54.57	-349.27	-3378.58	1408.71
Saccade L	1	48	5503264224	5503284223	19999	209.99	243.10	210.05	238.51	0.60	98.88	0.00	30.06	136.97	-2388.20	881.01
Saccade L	1	49	5504402976	5504502859	99883	369.91	329.32	365.08	283.76	47.93	1245.75	0.00	479.83	30551.16	-31043.03	22417.40
Saccade L	1	50	5504602724	5504643671	40947	366.22	283.55	366.31	282.99	19.24	1172.46	0.49	469.83	29284.31	-29214.65	29237.64
Saccade L	1	51	5506121105	5506260842	139737	333.86	356.25	351.99	288.68	116.63	1228.63	0.00	834.64	30715.69	-28182.09	16116.65
Saccade L	1	52	5506700361	5506720363	20002	280.26	268.06	280.62	264.01	0.16	10.39	1.00	7.89	8.64	-154.15	76.93
Saccade L	1	53	5507419534	5507440708	21174	366.83	281.47	367.47	282.47	0.07	3.27	1.00	3.19	44.02	-6.12	16.83
Saccade L	1	54	5509117719	5509138832	21113	382.51	287.30	467.30	274.20	1.45	219.16	1.00	68.77	5406.02	-5394.91	3757.00
Saccade L	1	55	5510436555	5510456228	19673	324.45	331.65	282.47	308.60	1.23	122.37	1.00	62.45	3035.30	-2815.58	2497.63
Saccade L	1	56	5510936837	5510955599	18762	302.55	360.59	341.57	310.32	6.49	1185.77	0.00	345.79	4065.15	-28774.31	12252.15
Saccade L	1	57	5515231177	5515250908	19731	290.28	278.88	288.80	280.66	0.10	5.91	1.00	5.17	113.81	22.80	60.00
Saccade L	1	58	5516429807	5516449486	19679	229.87	287.81	270.15	359.47	6.67	1134.17	1.00	339.04	28190.02	-5250.00	12851.46
Saccade L	1	59	5517608242	5517629450	21208	271.08	284.94	236.89	280.65	0.79	88.05	1.00	37.19	2101.07	-2095.91	1764.71
Saccade L	1	60	5519186540	5519206492	19952	254.18	324.49	252.62	326.43	0.11	6.36	1.00	5.67	32.11	-70.91	40.66
Saccade L	1	61	5521803486	5521863550	60064	-2.05	866.12	-1.76	0.00	43.12	2112.35	0.00	717.91	51540.27	-51098.75	21593.52
Saccade L	1	62	5523801240	5523822433	21193	312.56	278.80	312.12	279.07	0.02	2.23	1.00	1.12	17.93	-22.60	15.73
Saccade L	1	63	5524600379	5524640366	39987	327.43	352.71	374.25	303.39	29.80	1212.84	1.00	745.32	30289.63	-29961.60	22076.96
Saccade L	1	64	5527237484	5527257742	20258	1.19	882.88	0.94	0.00	21.78	2149.53	0.00	1074.96	53738.27	-53719.15	53725.47
Saccade L	1	65	5528516341	5528536091	19750	345.46	273.75	144.85	-138.94	8.25	1156.76	1.00	417.84	28905.02	-28919.07	23518.03
Saccade L	1	66	5531313968	5531452868	138900	355.85	308.78	339.35	270.94	82.44	1186.84	0.00	593.56	27247.34	-28643.77	15710.98
Saccade L	1	67	5533230745	5533290863	60118	35.89	937.58	558.91	883.53	106.73	2500.16	1.00	1775.40	56775.87	-33111.47	23855.95
Saccade L	1	68	5535228500	5535288461	59961	348.80	513.35	1.01	0.00	44.55	1868.78	1.00	742.95	46384.61	-46705.23	26414.06
Saccade L	1	69	5535468240	5535568239	99999	350.88	294.50	368.00	271.18	86.94	1389.84	0.20	869.46	34745.96	-28647.18	15238.22
Saccade L	1	70	5538405963	5538444978	39015	324.92	273.68	220.62	288.15	2.75	208.32	1.00	70.47	5124.36	-4891.50	2954.93
Saccade L	1	71	5540023120	5540322957	299837	582.60	905.58	331.28	847.54	261.60	2565.56	0.00	872.46	48363.46	-51930.58	21218.34
Saccade L	1	72	5540882226	5540922101	39875	370.37	338.92	350.74	258.77	29.43	1262.26	0.00	738.18	31556.44	-29902.61	23199.37
Saccade L	1	73	5541621422	5541641368	19946	274.60	287.00	347.25	282.00	1.09	186.05	1.00	54.40	4490.12	-4582.16	3083.93
Saccade L	1	74	5545457128	5545477115	19987	306.23	286.64	304.88	286.33	0.10	7.48	1.00	5.17	-17.78	-98.66	67.70
Saccade L	1	75	5548733382	5548753484	20102	285.56	357.59	327.96	314.39	6.77	1153.70	0.00	336.78	3866.63	-27873.48	11746.36
Saccade L	1	76	5549752402	5549772256	19854	292.89	354.69	344.48	285.34	7.25	1159.51	0.00	365.18	5519.62	-26977.72	12242.97
Saccade L	1	77	5556964114	5557004118	40004	210.69	396.22	278.90	318.45	26.95	1131.93	0.00	673.75	28298.27	-27407.71	20942.07
Saccade L	1	78	5558383575	5558442637	59062	281.72	304.60	281.39	303.59	25.12	1271.55	1.00	425.33	31518.18	-31729.57	12795.36
Saccade L	1	79	5560581073	5560620040	38967	373.64	293.43	372.86	292.52	18.94	1213.65	0.49	486.16	30283.91	-30274.63	30254.94
Saccade L	1	80	5561019547	5561139411	119864	399.66	321.23	411.95	289.04	50.91	1288.31	0.00	424.71	30190.29	-31706.12	11870.29
Saccade L	1	81	5561598987	5561618908	19921	403.98	299.89	434.43	299.36	1.02	124.77	0.00	51.28	1934.00	-3068.20	2294.00
Saccade L	1	82	5563097307	5563117380	20073	394.72	290.96	391.21	289.86	0.14	9.40	1.00	7.20	37.47	-54.78	42.07
Saccade L	1	83	5569649908	5569671205	21297	285.59	277.91	263.31	275.09	0.40	57.38	1.00	18.85	1341.36	-1331.57	922.42
Saccade L	1	84	5570409093	5570429130	20037	328.59	272.21	329.37	273.14	0.29	48.33	1.00	14.39	1158.83	-26.50	396.91
Saccade L	1	85	5573425761	5573445653	19892	323.90	307.24	327.81	308.23	0.21	12.51	1.00	10.36	2195.83	44.80	766.92
Saccade L	1	86	5573945375	5573966180	20805	275.22	290.84	193.09	294.80	2.15	210.06	1.00	103.45	5001.28	-5053.20	3858.79
Saccade L	1	87	5577441322	5577481156	39834	378.63	258.75	377.76	249.45	27.58	1156.09	0.00	692.31	28902.29	-28708.29	21611.21
Saccade L	1	88	5577880770	5577900879	20109	398.28	263.57	456.47	264.30	0.85	148.69	1.00	42.19	3631.32	-3590.15	2522.47
Saccade L	1	89	5578461345	5578480024	18679	364.36	276.70	321.14	272.49	0.73	110.98	1.00	39.31	2745.12	-2344.88	2008.41
Saccade L	1	90	5578959806	5578979600	19794	266.46	291.16	265.91	294.13	0.16	11.90	0.00	8.29	21.09	-129.95	70.46
Saccade L	1	91	5579898649	5579918409	19760	312.16	284.27	312.20	282.82	0.75	138.50	1.00	37.96	3331.08	-17.53	1175.13
Saccade L	1	92	5581316918	5581376861	59943	314.72	348.22	342.44	259.82	35.83	1182.48	0.00	597.75	22466.12	-28033.76	16725.36
Saccade L	1	93	5581756674	5581776473	19799	256.33	264.28	200.11	272.26	1.67	177.83	0.00	84.35	3411.16	-4299.93	3733.87
Saccade L	1	94	5583774259	5583794223	19964	612.31	372.28	157.13	249.11	14.85	1772.63	0.00	743.92	29696.22	-43935.32	34356.51
Saccade L	1	95	5584013973	5584033915	19942	88.92	279.55	90.21	281.60	0.82	138.59	0.00	41.10	-36.79	-3314.72	1179.01
Saccade L	1	96	5586671029	5586691034	20005	350.54	309.26	301.11	296.80	0.79	130.25	1.00	39.43	3134.51	-3023.04	2084.29
Saccade L	1	97	5587569967	5587590047	20080	314.39	279.97	369.40	275.30	1.40	141.07	1.00	69.62	3419.22	-3465.14	3319.68
Saccade L	1	98	5588928473	5588968354	39881	361.10	290.29	364.59	285.72	28.68	1167.66	0.00	719.21	29191.40	-28226.60	21070.54
Saccade L	1	99	5589108236	5589149184	40948	358.30	290.60	200.34	320.65	4.37	207.03	1.00	106.74	5138.16	-4649.18	4279.30
Saccade L	1	100	5590027241	5590047561	20320	364.62	280.40	382.98	283.60	0.58	51.51	0.00	28.37	1006.95	-1111.93	1057.36
Saccade L	1	101	5591646329	5591765278	118949	-183.42	450.89	376.51	278.26	111.07	1225.04	0.00	933.76	30625.97	-28309.90	11217.52
Saccade L	1	102	5591925097	5591946187	21090	371.53	292.54	339.64	314.43	0.65	98.85	1.00	30.67	2322.70	-2413.69	1670.20
Saccade L	1	103	5593323489	5593344600	21111	388.30	294.17	389.23	295.77	0.08	4.73	1.00	3.71	49.86	-10.27	26.81
Saccade L	1	104	5594282498	5594322479	39981	343.35	286.90	200.20	355.00	4.15	207.68	1.00	103.79	5011.11	-4721.00	4336.94
Saccade L	1	105	5595021616	5595042685	21069	372.98	279.03	414.39	277.15	0.81	105.93	1.00	38.24	2531.31	-2546.94	1978.87
Saccade L	1	106	5595501119	5595521109	19990	612.33	661.27	609.19	672.60	22.11	2203.73	1.00	1105.95	54574.05	342.48	18555.89
