[BeGaze]
Converted from:	F:\1. ON ROAD - Track\003 RB\003 RB 20130202 Rested\SMI\003RB 20130201 - Rested.idf
Date:	08.08.2014 15:40:53
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	003RB 20130201 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.
Saccade L	1	42	6390088329	6390188214	99885	366.95	227.73	399.71	225.74	33.37	1209.63	1.00	334.08	30228.41	-30124.49	18356.70
Saccade L	1	43	6390627835	6390667883	40048	366.48	223.23	365.42	223.35	19.49	1211.48	1.00	486.64	30192.95	-30211.71	30185.61
Saccade L	1	44	6391306978	6391347319	40341	407.35	236.15	517.90	338.95	4.04	240.55	1.00	100.06	5917.09	-5578.49	4002.74
Saccade L	1	45	6391526716	6391547971	21255	500.67	350.52	460.21	343.43	0.70	104.96	1.00	32.75	2347.35	-2500.45	1616.55
Saccade L	1	46	6391886318	6391926286	39968	276.39	199.08	295.48	205.77	21.27	912.45	1.00	532.22	21598.27	-22239.53	16532.21
Saccade L	1	47	6392285968	6392305868	19900	347.52	231.30	405.16	241.12	0.86	149.41	1.00	43.46	3649.27	-3481.26	2447.43
Saccade L	1	48	6392865227	6392885190	19963	377.60	236.80	335.80	212.39	0.67	123.69	1.00	33.71	3028.00	-2937.64	2048.55
Saccade L	1	49	6393983973	6394003963	19990	349.66	228.12	347.81	232.79	0.41	56.56	0.00	20.38	195.71	-1237.47	555.17
Saccade L	1	50	6395562224	6395642308	80084	341.14	186.56	348.68	191.59	56.82	1006.32	1.00	709.45	24598.06	-24935.36	12496.70
Saccade L	1	51	6397460100	6397500107	40007	375.35	207.47	382.98	191.66	17.70	1083.01	0.50	442.48	27038.18	-26828.96	26704.55
Saccade L	1	52	6399577729	6399617738	40009	384.82	221.91	383.28	221.40	18.29	1120.79	0.50	457.17	27698.57	-27951.12	27651.36
Saccade L	1	53	6402714240	6402735322	21082	355.21	215.68	355.81	216.15	0.05	3.59	1.00	2.50	71.73	-41.13	42.60
