[BeGaze]
Converted from:	F:\1. ON ROAD - Track\003 RB\003 RB 20130119 Sleep Deprived\SMI\003RB 20130119 - Sleep Deprived.idf
Date:	08.08.2014 15:44:47
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	003RB 20130119 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.
Saccade L	1	41	1178436209	1178456233	20024	399.49	199.82	399.49	199.39	0.08	6.41	1.00	3.86	206.21	-103.13	133.83
Saccade L	1	42	1182052228	1182091878	39650	419.73	311.41	370.68	363.15	32.03	1312.28	0.00	807.75	32807.02	-32224.88	23822.84
Saccade L	1	43	1182451856	1182591427	139571	302.08	339.57	327.59	308.73	77.55	1622.91	0.86	555.61	28379.07	-40485.34	17938.49
Saccade L	1	44	1182751616	1182951361	199745	331.07	305.78	337.23	308.23	176.07	1151.87	1.00	881.49	28453.68	-28336.99	9293.25
Saccade L	1	45	1183230745	1183270782	40037	295.93	278.04	300.79	272.86	25.16	1565.78	0.50	628.38	39008.40	-38925.77	38320.76
Saccade L	1	46	1183929770	1183950230	20460	244.85	238.00	247.75	235.50	0.62	94.36	1.00	30.31	69.15	-2114.20	729.30
Saccade L	1	47	1184650102	1184689045	38943	263.71	231.27	179.62	232.06	13.70	889.22	0.49	351.74	22142.02	-22206.34	19638.12
Saccade L	1	48	1184808891	1184849108	40217	191.79	230.04	197.56	225.76	12.55	762.18	1.00	311.96	18878.50	-18989.71	18793.59
Saccade L	1	49	1185149711	1185249607	99896	226.81	214.00	135.01	213.00	20.56	641.82	1.00	205.80	15847.35	-15707.49	9808.53
Saccade L	1	50	1185588134	1185607885	19751	224.37	206.60	250.35	208.74	0.50	66.61	1.00	25.43	1474.08	-1304.17	986.17
Saccade L	1	51	1187066294	1187106398	40104	-112.50	404.07	346.74	237.30	25.63	1061.51	1.00	639.20	26492.86	-26481.22	19783.82
Saccade L	1	52	1188945327	1188984149	38822	372.76	261.82	371.77	257.67	26.96	1148.56	0.00	694.37	28713.98	-28430.85	21301.28
Saccade L	1	53	1189883139	1189903146	20007	374.71	260.19	386.56	261.99	1.03	157.25	0.00	51.52	603.78	-3638.60	1624.77
Saccade L	1	54	1190082875	1190122851	39976	388.10	262.92	388.14	261.30	23.43	1461.83	0.50	586.00	36452.08	-36527.27	36415.10
Saccade L	1	55	1190602410	1190643358	40948	321.88	278.92	325.44	279.29	24.20	1471.60	1.00	590.95	36674.92	-36714.54	36646.06
Saccade L	1	56	1190942315	1191042238	99923	275.03	269.89	285.74	264.66	73.41	1466.64	0.20	734.70	36588.85	-36520.83	31284.13
Saccade L	1	57	1191142960	1191161765	18805	318.88	261.98	388.14	259.16	1.19	177.11	1.00	63.10	4366.68	-4275.04	3460.54
Saccade L	1	58	1192080760	1192160629	79869	366.85	306.67	295.89	324.07	40.32	1207.75	0.76	504.84	30071.92	-30037.69	24158.35
Saccade L	1	59	1193958577	1193978702	20125	351.85	272.80	377.99	270.34	0.46	67.11	1.00	22.69	1589.50	-1661.51	1112.94
Saccade L	1	60	1194318137	1194358139	40002	304.38	263.54	304.17	264.27	23.76	1480.17	1.00	594.08	36919.62	-36955.93	36896.55
Saccade L	1	61	1194997410	1195077389	79979	329.13	272.22	334.79	272.94	68.66	1499.62	0.75	858.44	37388.27	-37424.73	24914.60
Saccade L	1	62	1195397056	1195456878	59822	294.21	277.65	288.10	287.58	30.35	1510.98	1.00	507.42	36930.76	-37661.59	15263.54
Saccade L	1	63	1195716645	1195756630	39985	284.67	306.05	290.43	310.79	24.54	1531.48	1.00	613.82	38179.37	-38195.44	37954.72
Saccade L	1	64	1196056368	1196096249	39881	301.21	281.45	304.27	274.69	24.81	1544.85	0.50	622.17	38319.96	-38319.95	38077.58
Saccade L	1	65	1196715513	1196775489	59976	285.44	233.66	217.48	225.57	18.02	831.25	0.67	300.50	20066.13	-20682.81	16030.01
Saccade L	1	66	1197654492	1197674507	20015	185.30	213.14	271.43	218.75	7.61	751.09	1.00	380.26	-5321.08	-13265.26	9648.10
Saccade L	1	67	1198453619	1198473506	19887	290.45	261.22	254.06	256.16	0.77	93.89	1.00	38.49	2305.14	-2010.27	1833.57
Saccade L	1	68	1199172791	1199192763	19972	316.86	252.96	319.23	253.46	0.10	6.19	1.00	4.82	103.20	-69.91	64.28
Saccade L	1	69	1205146061	1205185981	39920	484.58	330.66	472.62	295.00	34.73	1466.44	0.00	870.09	36660.96	-36111.59	27205.96
Saccade L	1	70	1205665510	1205885178	219668	478.95	256.79	471.47	252.50	100.35	1799.77	0.36	456.81	44994.19	-44935.47	19369.11
Saccade L	1	71	1206126077	1206284809	158732	426.45	239.93	351.81	210.74	65.29	1040.76	0.63	411.34	25604.70	-25876.14	11308.02
Saccade L	1	72	1206384767	1206424986	40219	350.43	219.63	294.59	225.06	21.93	1360.73	0.50	545.20	33684.90	-33969.33	33642.40
Saccade L	1	73	1209321595	1209401339	79744	282.37	273.25	281.79	262.48	22.52	994.13	0.25	282.36	24790.42	-24853.37	16414.51
Saccade L	1	74	1209501263	1209521446	20183	338.95	245.34	369.43	243.67	1.18	151.90	0.00	58.55	1893.27	-3747.61	2513.42
Saccade L	1	75	1209960711	1209980624	19913	367.91	256.86	436.15	257.78	1.80	174.36	1.00	90.61	4170.33	-4198.74	2947.21
Saccade L	1	76	1218471242	1218750891	279649	359.94	313.37	364.64	311.32	161.43	1472.95	0.43	577.27	36715.02	-36528.61	15619.99
Saccade L	1	77	1220668743	1220788606	119863	374.09	311.07	373.74	304.17	48.86	1224.44	0.00	407.61	30327.09	-30338.32	11486.46
Saccade L	1	78	1233214732	1233414477	199745	387.01	-294.54	282.71	292.47	90.78	1459.52	0.70	454.50	36405.07	-36471.77	15037.92
Saccade L	1	79	1233953901	1233973865	19964	314.72	291.79	362.80	290.89	1.64	184.37	0.00	82.06	2702.35	-4454.21	3213.19
Saccade L	1	80	1237569850	1237589954	20104	348.14	-267.83	298.58	333.40	13.15	1506.10	1.00	653.91	37652.62	-37601.94	34314.25
Saccade L	1	81	1237689941	1237829511	139570	296.26	331.90	271.63	333.37	51.98	1504.11	0.14	372.45	37556.83	-37562.06	20538.25
Saccade L	1	82	1239467778	1239488696	20918	262.62	295.67	-0.91	391.60	9.04	1000.40	0.00	432.23	17825.89	-24622.90	16446.70
Saccade L	1	83	1239647451	1239667547	20096	283.76	285.90	-98.29	374.49	11.38	1018.61	0.00	566.29	24807.37	-19108.38	14671.76
Saccade L	1	84	1241665237	1241864987	199750	302.14	286.24	298.55	273.91	92.27	1486.91	0.40	461.94	36812.45	-37052.55	18247.36
Saccade L	1	85	1242064750	1242224614	159864	291.05	263.70	314.54	263.42	131.41	1506.75	0.87	822.04	37377.21	-37541.19	22422.46
Saccade L	1	86	1242544245	1242664116	119871	335.57	256.60	349.23	267.27	78.25	1475.73	1.00	652.82	36737.80	-36696.71	36246.50
Saccade L	1	87	1243443241	1243662993	219752	396.83	283.98	394.70	295.24	116.27	1239.99	1.00	529.10	30909.59	-30925.23	28258.45
Saccade L	1	88	1243822924	1243842750	19826	486.68	292.36	487.36	290.26	0.14	9.11	1.00	6.91	27.29	-86.75	40.04
Saccade L	1	89	1244062634	1244102496	39862	432.19	286.19	425.79	291.35	21.66	1301.91	0.51	543.28	32390.11	-32444.80	31719.60
Saccade L	1	90	1244202420	1244282742	80322	422.47	283.07	442.46	275.04	60.36	1308.25	1.00	751.53	31808.83	-31832.53	20861.67
Saccade L	1	91	1244701906	1244821734	119828	475.79	271.65	470.55	271.61	79.14	1486.45	0.83	660.45	37111.58	-37061.88	36982.79
Saccade L	1	92	1245321093	1245421010	99917	441.96	276.64	447.00	282.00	39.15	1514.27	0.20	391.79	37700.07	-37731.47	22070.37
Saccade L	1	93	1245600909	1245820607	219698	433.39	296.51	411.30	292.79	162.48	1318.28	0.09	739.56	32862.20	-32772.68	24827.54
Saccade L	1	94	1246599743	1246619739	19996	353.22	284.36	305.68	282.59	0.95	121.58	1.00	47.34	2954.08	-2986.02	2432.44
Saccade L	1	95	1246980197	1247019267	39070	284.51	264.24	285.91	263.59	24.41	1520.46	0.49	624.86	37580.27	-37952.30	37432.48
Saccade L	1	96	1248597399	1248617501	20102	300.59	267.35	253.52	257.72	1.37	146.66	1.00	68.31	3599.95	-2613.93	3084.71
Saccade L	1	97	1248837144	1248857255	20111	213.96	237.79	281.81	241.28	1.17	173.58	1.00	58.22	4141.58	-4035.73	2860.21
Saccade L	1	98	1249296786	1249316633	19847	272.93	256.72	228.83	247.93	1.11	114.91	1.00	55.75	2864.87	-2740.62	2594.88
Saccade L	1	99	1250195779	1250215768	19989	283.43	244.94	304.68	245.68	1.04	135.61	0.00	51.88	1028.88	-3280.39	1844.21
Saccade L	1	100	1250535368	1250555260	19892	-182.20	347.66	282.34	325.54	11.14	1171.94	1.00	560.25	29298.54	-28541.77	26922.61
Saccade L	1	101	1250795034	1250814987	19953	306.24	252.75	308.75	249.62	0.23	14.15	0.00	11.58	-81.76	-200.69	142.15
Saccade L	1	102	1251134624	1251234510	99886	312.60	253.96	326.75	253.13	25.91	1044.62	1.00	259.40	26115.45	-26067.12	14746.59
Saccade L	1	103	1252133495	1252193489	59994	277.10	276.35	280.21	275.46	32.17	1542.65	1.00	536.15	38475.34	-38234.90	15968.09
Saccade L	1	104	1252792882	1252932629	139747	460.24	404.91	478.56	429.23	114.52	1684.11	1.00	819.50	42077.33	-41982.67	31798.02
Saccade L	1	105	1254091373	1254131372	39999	300.57	265.72	301.34	270.74	25.18	1547.43	1.00	629.50	38480.19	-38597.54	38109.54
Saccade L	1	106	1255329989	1255370202	40213	313.00	266.18	318.01	272.27	25.24	1558.47	1.00	627.73	38595.38	-38796.89	38518.63
Saccade L	1	107	1255989259	1256009244	19985	348.82	252.26	350.78	250.56	0.15	12.46	1.00	7.45	5.87	-145.75	62.64
Saccade L	1	108	1257187876	1257227890	40014	315.53	285.74	380.22	287.64	18.31	1200.58	1.00	457.70	29768.83	-29953.46	28350.99
Saccade L	1	109	1257407633	1257447627	39994	343.86	283.25	281.39	280.29	25.50	1562.90	1.00	637.59	38366.72	-38982.92	38220.24
Saccade L	1	110	1257547510	1257887255	339745	279.76	273.82	256.47	268.27	262.15	1563.71	0.06	771.62	38977.00	-39003.99	24372.79
Saccade L	1	111	1257987006	1258007002	19996	329.22	250.87	332.55	245.47	1.10	142.18	0.00	55.21	-303.30	-3451.60	1602.48
Saccade L	1	112	1258406505	1258906015	499510	331.93	280.91	153.89	690.50	427.19	2563.31	0.60	855.22	63516.52	-62440.98	25652.34
Saccade L	1	113	1259904781	1260024646	119865	320.20	269.47	421.32	705.29	64.75	2118.89	1.00	540.18	42373.37	-52863.54	15374.54
Saccade L	1	114	1260843749	1261023695	179946	182.18	-306.83	280.87	282.73	139.20	1571.25	0.67	773.55	38920.87	-39031.88	21112.31
Saccade L	1	115	1261263741	1261303255	39514	288.30	294.61	375.56	292.22	17.80	1198.36	1.00	450.35	29832.60	-29881.93	27911.27
Saccade L	1	116	1264460862	1264519781	58919	371.82	252.87	370.00	257.82	29.69	1511.67	1.00	503.96	37435.59	-37694.74	15102.07
Saccade L	1	117	1265859363	1266018019	158656	351.94	288.14	350.71	329.52	79.64	1556.93	0.24	501.98	38790.62	-38805.72	27332.42
Saccade L	1	118	1266117953	1266177887	59934	351.11	327.04	350.57	324.10	30.00	1495.34	1.00	500.49	37229.16	-37354.81	14940.11
Saccade L	1	119	1270254357	1270273322	18965	199.88	-9.38	0.00	-1.34	4.84	510.04	0.00	255.30	12747.30	-12719.99	12728.76
Saccade L	1	120	1271032510	1271132261	99751	345.49	336.57	342.65	331.00	75.37	1214.20	0.00	755.63	30076.76	-30046.24	12914.73
Saccade L	1	121	1271412008	1271452248	40240	346.14	337.55	355.43	327.56	19.73	1217.00	0.50	490.36	30345.46	-30317.66	30283.06
Saccade L	1	122	1272231523	1272311234	79711	349.34	294.85	355.90	300.86	53.31	1174.31	1.00	668.75	28803.18	-28484.99	19149.35
Saccade L	1	123	1273070424	1273110525	40101	355.04	313.82	346.64	316.78	24.33	1515.48	0.49	606.81	37811.23	-37734.36	37619.13
Saccade L	1	124	1273270200	1273350467	80267	338.75	325.74	344.60	324.88	54.62	1192.85	1.00	680.42	29432.87	-29733.31	19717.47
Saccade L	1	125	1274528518	1274649373	120855	337.38	320.56	344.21	319.53	55.87	1486.59	1.00	462.28	37101.27	-37104.10	22208.03
Saccade L	1	126	1274808140	1274848488	40348	341.16	313.93	339.77	310.45	18.99	1168.41	0.50	470.68	28998.07	-29148.90	28926.20
Saccade L	1	127	1275068017	1275108137	40120	342.93	302.98	341.03	299.92	25.10	1561.29	0.50	625.65	38932.79	-38871.94	38821.70
Saccade L	1	128	1275627435	1275767132	139697	304.84	338.01	352.84	300.57	113.98	1170.84	0.43	815.88	28681.17	-29196.36	9876.50
Saccade L	1	129	1278445288	1278464220	18932	235.19	-320.11	351.93	282.64	12.09	1531.55	1.00	638.61	38288.68	-37938.42	33630.99
Saccade L	1	130	1279263407	1279303253	39846	350.66	307.80	345.80	317.83	19.01	1183.24	1.00	477.07	29376.89	-29398.71	29275.87
Saccade L	1	131	1282060181	1282141232	81051	347.15	318.68	310.42	348.05	68.83	1190.09	0.49	849.24	29677.06	-29372.16	14790.00
Saccade L	1	132	1283658326	1283739221	80895	345.51	392.98	352.51	378.14	45.77	1313.80	0.00	565.74	32150.84	-32477.24	27001.74
Saccade L	1	133	1285276523	1285396396	119873	344.84	304.91	343.41	314.59	104.62	1173.56	1.00	872.76	29007.60	-29129.69	12815.23
Saccade L	1	134	1285716028	1285756018	39990	342.67	310.29	360.45	305.91	35.02	1594.08	0.51	875.80	39851.97	-39683.14	32331.04
Saccade L	1	135	1287214398	1287254341	39943	360.43	326.90	363.00	322.54	29.39	1224.61	0.00	735.83	30615.33	-30420.57	22870.72
Saccade L	1	136	1288034625	1288073423	38798	356.59	311.59	353.38	312.06	25.11	1612.94	1.00	647.21	40197.77	-40211.36	40155.91
Saccade L	1	137	1289052249	1289172130	119881	357.54	327.23	358.24	326.42	80.03	1501.91	0.17	667.61	37468.32	-37517.32	37398.44
Saccade L	1	138	1289791493	1289832497	41004	347.18	323.64	347.39	328.08	24.68	1503.14	0.48	601.89	37494.47	-37379.20	37302.25
