[BeGaze]
Converted from:	F:\1. ON ROAD - Track\010 NK\010 NK Sleep Deprived 20131207\SMI\010 NK 20131207 - Sleep Deprived.idf
Date:	08.08.2014 16:42:40
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	010 NK 20131207 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.
Saccade L	1	42	6051904197	6052004053	99856	370.20	258.91	255.52	396.84	20.79	1139.32	0.00	208.23	5751.59	-28266.11	6890.40
Saccade L	1	43	6052403454	6052423582	20128	286.07	396.06	339.79	397.78	1.68	187.16	1.00	83.32	4557.15	-3343.32	3745.25
Saccade L	1	44	6052763207	6052783209	20002	373.55	393.82	350.33	326.88	1.55	181.03	1.00	77.65	4327.79	-2521.20	3068.67
Saccade L	1	45	6053102824	6053122840	20016	382.34	262.56	384.51	253.99	0.33	27.60	0.00	16.44	461.36	-404.67	400.71
Saccade L	1	46	6053582325	6053602203	19878	333.54	221.95	331.39	219.66	0.13	8.02	1.00	6.36	100.80	-63.67	70.57
Saccade L	1	47	6054742010	6054760976	18966	390.42	188.43	387.82	194.26	0.73	95.27	1.00	38.25	1881.11	-146.54	718.51
Saccade L	1	48	6054920893	6054941764	20871	352.29	251.11	354.27	253.65	0.40	37.20	1.00	19.23	627.18	-279.14	304.58
Saccade L	1	49	6055280338	6055300322	19984	343.15	254.50	285.73	251.99	1.58	146.85	1.00	79.30	3600.17	-3518.32	2529.09
Saccade L	1	50	6055560078	6055599955	39877	296.26	261.32	410.08	271.31	3.50	198.47	1.00	87.70	4635.23	-4688.99	3032.37
Saccade L	1	51	6055859717	6055879711	19994	438.10	302.05	448.95	336.74	0.80	92.88	1.00	39.80	2031.43	-2238.96	1822.91
Saccade L	1	52	6057178330	6057198209	19879	402.63	275.48	333.02	275.98	1.53	177.85	1.00	77.19	4329.67	-4360.10	3075.71
Saccade L	1	53	6057797481	6057817680	20199	346.57	285.89	397.14	281.75	1.21	129.67	1.00	59.77	3191.96	-3236.39	2217.76
Saccade L	1	54	6058077210	6058097295	20085	473.82	262.07	528.05	250.61	1.66	141.64	1.00	82.48	3308.29	-3393.09	2879.28
