[BeGaze]
Converted from:	F:\1. ON ROAD - Track\009 JA\009 JA 20131012 Sleep Deprived\SMI\009 JA 201231012 - Sleep Deprived.idf
Date:	08.08.2014 16:34:41
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	009 JA 201231012 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.
Saccade L	1	42	5620481087	5620501135	20048	564.84	321.98	529.04	490.83	19.26	1784.35	1.00	960.47	11006.31	-11006.49	8729.91
Saccade L	1	43	5620700926	5620820742	119816	476.69	250.43	394.52	267.11	124.88	1350.59	0.00	1042.26	33764.69	-29952.21	12215.45
Saccade L	1	44	5621041421	5621060533	19112	319.06	290.17	230.77	304.28	1.95	228.38	1.00	101.98	5629.94	-5487.11	4910.08
Saccade L	1	45	5621399969	5621419995	20026	170.26	301.40	188.69	282.44	0.56	67.57	1.00	28.18	1626.16	-1482.57	1279.40
Saccade L	1	46	5622139459	5622199033	59574	492.10	232.44	453.87	244.52	27.75	1357.26	0.67	465.75	33158.95	-33731.84	26337.48
Saccade L	1	47	5623638416	5623657485	19069	344.63	332.91	312.24	333.89	1.31	151.42	1.00	68.66	3320.66	-1959.45	2268.15
Saccade L	1	48	5624096979	5624116955	19976	268.40	360.76	339.98	340.54	1.06	190.04	1.00	52.83	4620.93	-4584.58	3091.00
Saccade L	1	49	5624676294	5624716279	39985	348.24	179.88	349.50	181.04	18.46	1150.64	1.00	461.68	28661.61	-28732.95	28648.90
Saccade L	1	50	5626054864	5626074794	19930	369.54	268.15	370.91	267.74	0.21	29.46	1.00	10.73	-44.30	-645.42	275.23
Saccade L	1	51	5626614248	5626674088	59840	-23.13	252.25	25.49	221.39	18.90	644.65	0.00	315.77	16115.44	-16112.77	9676.26
Saccade L	1	52	5626835045	5626854003	18958	102.72	241.43	108.77	243.60	0.34	21.30	1.00	18.09	85.18	-126.67	111.30
Saccade L	1	53	5629331586	5629371124	39538	428.89	451.90	396.21	450.94	24.94	1553.11	0.49	630.73	38778.18	-37432.68	37505.64
Saccade L	1	54	5629770745	5629850537	79792	350.11	252.10	352.85	253.29	62.52	1096.49	1.00	783.52	27232.36	-27138.19	13573.42
Saccade L	1	55	5630509830	5630749584	239754	147.41	654.77	368.10	463.80	171.49	1854.66	0.67	715.26	36080.41	-45459.08	23724.25
Saccade L	1	56	5630889477	5631189069	299592	372.96	444.24	366.72	461.33	288.87	2529.13	0.33	964.21	62381.52	-36607.67	25210.74
Saccade L	1	57	5632168042	5632207952	39910	330.75	-284.12	368.36	241.39	34.41	1111.40	1.00	862.30	2609.10	-27520.64	14462.31
